timestamp,ambient_light,backscatter,pressure,water_temp,battery,sensor
2023-09-14 17:08:44,201,46190,8388,2000,390,305
2023-09-14 17:13:44,98,46330,8390,1995,390,305
2023-09-14 17:18:44,60,46530,8389,1987,390,305
2023-09-14 17:23:44,57,46400,8391,1982,390,305
2023-09-14 17:28:44,67,46924,8395,1976,391,305
2023-09-14 17:33:44,54,46670,8393,1970,391,305
2023-09-14 17:38:44,42,46676,8394,1964,389,305
2023-09-14 17:43:44,37,46567,8395,1958,390,305
2023-09-14 17:48:44,52,46934,8391,1952,391,305
2023-09-14 17:53:44,35,46433,8400,1945,391,305
2023-09-14 17:58:44,26,46326,8398,1937,391,305
2023-09-14 18:03:44,18,46756,8397,1932,390,305
2023-09-14 18:08:44,16,46896,8401,1926,391,305
2023-09-14 18:13:44,13,46758,8402,1920,391,305
2023-09-14 18:18:44,12,46424,8401,1916,391,305
2023-09-14 18:23:44,11,47224,8400,1911,392,305
2023-09-14 18:28:44,11,46807,8400,1907,392,305
2023-09-14 18:33:44,10,46514,8405,1902,391,305
2023-09-14 18:38:44,11,46425,8401,1899,392,305
2023-09-14 18:43:44,10,46370,8402,1896,391,305
2023-09-14 18:48:44,11,46565,8406,1893,391,305
2023-09-14 18:53:44,10,46453,8405,1890,391,305
2023-09-14 18:58:44,12,46192,8408,1886,390,305
2023-09-14 19:03:44,11,46339,8411,1883,392,305
2023-09-14 19:08:44,11,46287,8415,1881,392,305
2023-09-14 19:13:44,10,46507,8407,1878,390,305
2023-09-14 19:18:44,10,46536,8411,1876,390,305
2023-09-14 19:23:44,10,46415,8414,1875,390,305
2023-09-14 19:28:44,10,46454,8411,1874,390,305
2023-09-14 19:33:44,11,46477,8417,1871,390,305
2023-09-14 19:38:44,10,46411,8412,1871,392,305
2023-09-14 19:43:44,11,46292,8412,1870,390,305
2023-09-14 19:48:44,10,46284,8411,1869,392,305
2023-09-14 19:53:44,10,46157,8416,1868,390,305
2023-09-14 19:58:44,10,46478,8416,1868,390,305
2023-09-14 20:03:44,10,46360,8421,1868,390,305
2023-09-14 20:08:44,10,46372,8423,1867,392,305
2023-09-14 20:13:44,10,46235,8423,1866,392,305
2023-09-14 20:18:44,10,46207,8419,1865,392,305
2023-09-14 20:23:44,10,46255,8419,1865,391,305
2023-09-14 20:28:44,10,46538,8423,1862,393,305
2023-09-14 20:33:44,10,45649,8425,1862,391,305
2023-09-14 20:38:44,10,45666,8417,1861,392,305
2023-09-14 20:43:44,10,46028,8420,1860,391,305
2023-09-14 20:48:44,10,45899,8421,1858,390,305
2023-09-14 20:53:44,10,46290,8417,1856,390,305
2023-09-14 20:58:44,10,46043,8418,1854,390,305
2023-09-14 21:03:44,10,46171,8420,1853,390,305
2023-09-14 21:08:44,10,45691,8423,1852,391,305
2023-09-14 21:13:44,9,45729,8422,1851,392,305
2023-09-14 21:18:44,10,45654,8423,1851,390,305
2023-09-14 21:23:44,11,45736,8424,1850,392,305
2023-09-14 21:28:44,10,45959,8424,1850,391,305
2023-09-14 21:33:44,10,45723,8424,1849,391,305
2023-09-14 21:38:44,9,45796,8421,1846,391,305
2023-09-14 21:43:44,9,46302,8426,1845,390,305
2023-09-14 21:48:44,10,45884,8427,1845,390,305
2023-09-14 21:53:44,10,45741,8424,1845,391,305
